Model,k,n_days,topk_mean_y,topk_mean_y_se,topk_win_rate,topk_median_y
Ridge,1,211,1.9482257712667728,0.42507154039541806,0.5213270142180095,1.9482257712667728
Ridge,3,211,1.2698601589276637,0.2494256652907673,0.46445497630331756,1.0157356426068493
Ridge,5,211,0.9220726520167355,0.20364804283626192,0.43886255924170614,0.3693974895239477
Ridge,10,211,0.5623291292215666,0.14702871509828608,0.4080568720379147,-0.03207748932366688
LightGBM,1,211,2.3459880284576617,0.42449762410854436,0.5639810426540285,2.3459880284576617
LightGBM,3,211,1.533745175549734,0.23416712595619996,0.5007898894154817,1.258274549839056
LightGBM,5,211,1.2067689861588056,0.1805008446282544,0.4691943127962086,0.7473831643831532
LightGBM,10,211,0.7157358782833786,0.11556574948622832,0.43033175355450237,0.02573285230669365
MLP,1,211,1.8197963209602082,0.3949962498580105,0.5355450236966824,1.8197963209602082
MLP,3,211,0.8830077670474858,0.2227972827678923,0.4518167456556082,0.613426338325109
MLP,5,211,0.6714191924321566,0.17076841329380493,0.43696682464454983,0.12342627843515286
MLP,10,211,0.31132003704695055,0.11709249075824939,0.3966824644549763,-0.13470500630825336
Transformer,1,211,1.730420553306409,0.37417518039760195,0.5260663507109005,1.730420553306409
Transformer,3,211,1.3746219147702952,0.22555734773070035,0.47709320695102686,0.8574481994902353
Transformer,5,211,1.0926644125714968,0.17956939041280384,0.46066350710900467,0.7593670361785668
Transformer,10,211,0.6858693119491587,0.11103028989067494,0.4412322274881516,0.09032501190265207
GCN-LSTM,1,211,2.281354286236967,0.4254961631456181,0.6018957345971564,2.281354286236967
GCN-LSTM,3,211,1.2980687918609797,0.2436864420895229,0.4865718799368088,1.0256318469336494
GCN-LSTM,5,211,1.1062790582625592,0.19792995832233032,0.4786729857819905,0.7557296930521327
GCN-LSTM,10,211,0.7750720564829383,0.12610363997943091,0.471563981042654,0.22728600231753557
ZeroGraph,1,211,7.614151102565758,0.27177194170993385,0.909952606635071,7.614151102565758
ZeroGraph,3,211,6.806620103182009,0.18820472163991858,0.8736176935229069,7.590650797313988
ZeroGraph,5,211,6.290078317614104,0.15194467938936515,0.852132701421801,7.227742636514501
ZeroGraph,10,211,5.085605999648184,0.1249035386504293,0.7928909952606635,5.723965806127372
Proposed Graph-2,1,211,7.804661218023978,0.2662338334880406,0.909952606635071,7.804661218023978
Proposed Graph-2,3,211,6.932894639235349,0.18148146518907737,0.8815165876777251,7.899130771157301
Proposed Graph-2,5,211,6.36829000391172,0.1500536221994285,0.856872037914692,7.475998798252847
Proposed Graph-2,10,211,5.265511194679234,0.1274133922182783,0.7985781990521327,6.059200660577177
